,H,P value
0,11.142176142573696,0.000843868362759683
1,7.135196685535175,0.007558535172056034
2,36.43541768248868,1.5780937648347787e-09
3,15.717126462623565,7.355514909488732e-05
4,0.10285970756256524,0.748424492789711
5,8.463701904337906,0.00362303722254595
6,107.10732420345563,4.21702651715512e-25
7,16.8060975043849,4.1400063470161835e-05
8,19.053546067074294,1.271013725546086e-05
9,11.310466675567556,0.0007707139908020668
10,6.250497824899867,0.012415840745634447
11,1.4507588251729469,0.2284062316225779
