# Constructed from biom file																																																																																																																																																												
#OTU ID	L1	L10	L100	L101	L102	L103	L104	L105	L106	L107	L108	L109	L11	L110	L111	L112	L113	L114	L115	L116	L117	L118	L119	L12	L120	L121	L122	L123	L124	L125	L126	L127	L128	L129	L13	L130	L131	L132	L133	L134	L135	L136	L137	L138	L139	L14	L140	L141	L142	L143	L144	L15	L16	L17	L18	L19	L2	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L3	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L4	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L5	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L6	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L7	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L8	L80	L81	L82	L83	L84	L85	L86	L87	L88	L89	L9	L90	L91	L92	L93	L94	L95	L96	L97	L98	L99	LB1	LB10	LB11	LB12	LB2	LB3	LB4	LB5	LB6	LB7	LB8	LB9
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Porras-Alfaro03 OTU1	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	28	0	0	63	0	888	0	65	0	0	178	0	0	0	214	0	0	0	0	0	0	28	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	48	0	0	18	0	0	139	0	0	255	0	0	0	40	0	18003	342	198	0	0	342	363	0	0	27	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__ORVIN GLO3D	0	0	0	237	0	0	248	0	184	232	3762	970	114	313	2361	1919	710	307	1064	38	538	1997	392	128	4832	0	576	43	73	77	59	389	0	17	143	115	86	0	107	0	30	0	0	0	0	0	42	28	201	28	260	112	0	0	110	16	0	65	0	0	0	0	42	6	0	35	8	0	14	0	0	0	0	16	0	340	0	3243	0	148	0	134	203	299	37	19	271	0	189	0	0	0	47	0	0	133	280	0	0	152	0	11	471	0	281	339	0	0	0	15	23	23	363	2966	9	129	181	0	0	12	66	8	58	191	60	0	529	11	0	0	0	0	18	8	293	0	0	0	0	0	68	0	70	0	0	0	123	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;__	42	8	0	117	252	0	261	0	40	741	494	39	68	55	837	226	205	113	182	0	169	131	91	288	1625	0	948	0	0	22	73	1515	0	0	56	51	70	150	8	274	0	0	23	9	0	73	0	0	470	0	442	1119	648	0	0	501	0	6	0	68	37	133	36	402	0	17	401	0	79	67	23	36	17	16	0	61	0	0	181	0	0	0	59	459	0	897	0	0	26	0	0	0	0	0	0	0	0	0	31	32	743	213	95	50	232	466	260	69	0	31	8	298	73	757	604	332	246	410	171	649	665	42	0	100	131	33	987	0	0	0	0	0	0	0	345	17	48	0	39	0	594	107	16	24	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;__;__;__;__;__	2	46	24	2011	21	299	27	632	565	2019	740	744	790	17	349	100	79	27	1023	38	473	6	1886	199	128	1617	61	1745	173	163	2	824	59	562	0	20	646	29	715	373	6424	1874	1129	86	2321	109	128	4155	1048	3456	0	260	76	0	102	165	13	128	71	14	1254	11	2364	251	4888	0	4	85	130	432	39	29	51	325	144	79	0	594	51	0	0	10	942	47	0	0	624	57	498	2	0	1761	20	55	1847	868	93	335	42	35	176	6	13	0	636	222	14	0	106	0	4405	945	39	1883	67	262	315	70	0	290	83	461	92	0	826	48	963	146	165	67	655	1022	1240	22	101	482	59	218	147	767	0	257	6	826	0	129	94	57	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glo3b	214	268	0	126	164	15	47	22	487	56	205	7	894	173	785	18	0	189	979	152	41	3937	1164	2182	13	0	309	0	60	0	16	422	12	13	751	28	203	7	929	139	252	779	137	721	327	38	389	181	949	1659	4	1278	746	91	184	104	131	354	34	240	117	15	147	226	131	460	305	0	2000	3330	439	319	448	352	13	1217	234	439	348	14	140	5	18	352	84	19	8	51	1084	117	5	74	508	0	0	148	9	270	2353	23	975	225	914	7	16	155	0	0	276	11	132	231	537	1323	237	362	276	586	263	653	3308	264	11	945	3218	5	490	6	0	0	0	0	379	66	10	632	0	19	27	784	410	25	0	164	0	446	0	418	367	0	0	0	0	0	115	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__MO-G23	144	0	18	157	254	0	278	11	98	36	0	0	30	0	0	0	0	0	8	0	0	0	0	549	0	0	0	0	0	75	7	0	0	0	16	59	0	3064	120	71	0	126	26	419	0	14	0	10	647	37	0	81	74	10	0	176	0	79	0	53	16	10	4	0	0	66	283	0	0	391	0	43	0	0	0	244	93	0	10	0	16	0	29	99	0	0	25	0	35	3	0	27	16	42	0	16	0	59	0	32	0	337	751	101	1267	244	33	259	0	0	21	18	260	431	0	27	62	178	24	10	165	24	0	28	19	5	0	0	0	15	0	0	12	0	0	50	0	0	169	7	37	0	78	116	0	0	0	0	863	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glo2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	19	6	0	0	0	0	19	29	0	0	0	0	0	0	0	87	0	0	0	0	0	0	8	6	16	0	0	0	2504	14	0	93	0	0	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	48	106	0	0	14	0	0	0	0	0	0	412	0	0	0	0	0	38	0	0	0	0	0	1602	0	146	0	0	0	0	0	211	0	0	0	0	241	0	0	37	0	5	0	25	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Para1-OTU2	25	25	8	117	0	0	161	16	219	211	49	0	84	0	75	0	0	24	39	0	0	0	0	26	321	25	99	294	0	182	0	10	0	5	0	14	82	0	31	9	16	105	20	244	0	127	30	21	22	48	51	127	506	0	272	86	54	75	0	57	24	23	0	0	0	0	11	32	0	21	0	48	0	0	0	41	68	0	40	31	52	62	22	73	9	31	8	0	75	128	0	21	0	16	82	39	86	0	20	35	259	331	463	95	46	74	0	0	0	22	46	22	33	37	123	182	55	51	9	186	0	0	0	52	0	0	117	0	0	0	46	0	35	0	0	35	0	1677	88	0	0	91	36	335	0	0	0	0	0	0	0	0	0	897	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__MO-G18	36	89	0	11	25	0	210	80	51	250	462	56	100	13	0	0	0	11	23	0	0	0	0	159	3	0	74	30	244	0	0	0	10	0	52	0	0	143	37	47	36	101	132	0	0	65	183	0	50	130	57	12	48	54	37	0	15	42	315	56	10	0	41	23	8	34	10	0	27	11	0	165	36	5	63	439	63	85	436	33	0	0	65	67	0	122	0	13	145	8	15	34	20	59	797	0	226	72	0	269	44	177	3	5	33	474	0	0	0	70	62	55	0	63	121	12	25	0	0	67	21	0	0	19	11	8	34	150	6	14	0	293	107	11	157	40	0	248	201	0	0	24	0	172	0	84	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__MO-G22	0	0	0	108	152	0	87	0	7	30	0	0	11	0	0	0	0	0	0	0	0	0	23	399	0	0	0	0	0	35	0	0	7	0	22	0	0	1726	51	35	0	133	0	248	0	0	0	0	160	0	0	73	60	0	0	170	0	133	0	17	11	0	0	0	0	26	126	0	0	237	0	18	0	0	89	180	36	0	0	0	13	0	3	167	0	0	35	0	34	15	0	33	48	36	0	32	0	45	0	82	0	190	207	103	714	250	0	224	0	0	13	0	106	328	43	0	27	112	3	6	145	0	0	13	32	0	0	18	0	0	0	0	2	0	3	0	0	0	42	11	21	0	26	65	0	0	0	0	0	0	0	0	0	0	0	0
