#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L29,3,PP,Y,1,Common (C. dactylon),32.182,27.25,59.432,0.458507202,31,1.409424,0.071,0.838,1.001,0.203,0.16,0.374,6.946,80.651,18.124,8.375,76.826,450.1358,0.3788,3253,53.57,Unknown,
L3,1,P,Y,4,Common (C. dactylon),20.6478,17.37,38.0178,0.456891246,25,1.4798,0.066,0.643,1.259,0.27,0.117,0.337,7.465,292.464,41.826,17.693,86.401,394.4167,0.28,3677,34.6959,African,100%
L30,3,PP,Y,2,Common (C. dactylon),30.928,19.17,50.098,0.382650006,29,1.37,0.11,0.63,1.15,0.17,,0.35,8.8,129.6,20.3,12.6,50.8,227.2244,0.3869,2002,27.6202,Unknown,
L31,3,PP,Y,4,Common (C. dactylon),29.247,6.35,35.597,0.178385819,34,1.46592,0.038,1.022,0.916,0.225,0.1,0.304,5.937,227.374,21.611,27.65,172.951,401.9048,0.2577,2940,32.5373,Unknown,
L32,3,PP,Y,5,Common (C. dactylon),25.372,6.35,31.722,0.200176534,31,1.375616,0.028,0.799,0.937,0.18,0.074,0.224,3.234,230.935,19.562,12.443,172.603,195.3137,0.3167,1584,19.4306,Unknown,
L33,3,PPP,Y,1,Common (C. dactylon),20.904,13.47,34.374,0.391865945,31,1.78336,0.124,0.871,1.336,0.238,0.215,0.375,10.98,223.764,23.572,11.01,58.559,605.3476,0.3317,6597,63.0901,Unknown,
L34,3,PPP,Y,2,Common (C. dactylon),17.578,8.31,25.888,0.320998146,35,2.13056,0.153,0.948,1.405,0.244,0.149,0.405,12.584,340.544,32.612,14.964,74.799,403.7285,0.3101,4190,39.3259,Unknown,
L35,3,PPP,Y,4,Common (C. dactylon),29.06,17.55,46.61,0.376528642,33,1.75328,0.048,1.077,1.019,0.245,0.1,0.342,12.567,188.046,31.212,15.234,222.273,374.3213,0.2881,3067,33.8819,Unknown,
L36,3,PPP,Y,5,Common (C. dactylon),19.792,6.12,25.912,0.236184007,25,1.454592,0.053,1.003,1.101,0.235,0.098,0.358,10.225,208.338,27.478,14.15,222.187,253.2371,0.3285,1855,26.1351,Unknown,
L37,4,P,Y,1,Hybrid (C. transvaalensis),23.54,11.13,34.67,0.321026824,40,1.83328,0.131,0.806,1.617,0.224,0.183,0.427,10.288,81.749,20.654,8.443,61.749,374.7458,0.2911,2819,34.2731,Asian,67%
L38,4,P,Y,5,Hybrid (C. transvaalensis),19.236,11.76,30.996,0.379403794,26,,,,,,,,,,,,,315.7242,0.2503,2910,24.8275,Asian,67%
L39,4,P,Y,4,Hybrid (C. transvaalensis),28.539,25.01,53.549,0.467048871,31,2.03616,0.143,1.11,1.653,0.25,0.201,0.477,14.695,223.25,22.072,9.973,53.039,271.4875,0.2742,1333,23.3852,Asian,67%
L40,4,PP,Y,5,Hybrid (C. transvaalensis),22.988,14.48,37.468,0.386463115,19,1.66496,0.106,0.959,1.028,0.294,0.148,0.44,8.038,215.913,30.251,17.746,83.483,372.4074,0.2833,2761,33.1413,Asian,67%
L41,4,PP,Y,1,Hybrid (C. transvaalensis),25.427,21.15,46.577,0.454086781,34,1.595008,0.097,0.728,1.043,0.247,0.106,0.356,6.607,196.552,39.274,29.826,80.147,282.8641,0.3784,2335,33.63,Asian,67%
L42,4,PP,Y,2,Hybrid (C. transvaalensis),21.647,24.9,46.547,0.534943176,54,1.46,0.09,0.43,1.02,0.17,,0.24,4.6,159,31.5,19.6,64.2,489.4508,0.2773,4897,42.6416,Asian,67%
L43,4,PP,Y,4,Hybrid (C. transvaalensis),27.679,14.67,42.349,0.346407235,26,1.440608,0.076,0.791,0.872,0.275,0.101,0.319,9.252,159.047,31.047,15.85,110.734,201.689,0.3131,1843,19.8378,Asian,67%
L44,4,PPP,Y,5,Hybrid (C. transvaalensis),29.403,13.01,42.413,0.306745573,29,1.56544,0.129,0.828,1.104,0.288,0.165,0.422,7.264,180.538,45.894,28.084,76.826,297.094,0.3664,2614,34.2017,Asian,67%
L45,4,PPP,Y,1,Hybrid (C. transvaalensis),27.994,23.8,51.794,0.459512685,37,1.77456,0.07,0.988,0.891,0.453,0.09,0.339,10.341,111.532,36.765,19.252,236.355,195.562,0.3867,1526,23.756,Asian,67%
L46,4,PPP,Y,2,Hybrid (C. transvaalensis),23.472,30.43,53.902,0.56454306,37,1.60032,0.115,0.867,1.054,0.273,0.139,0.394,8.499,147.16,26.232,20.854,83.259,261.25,0.2949,1943,24.2018,Asian,67%
L47,4,PPP,Y,4,Hybrid (C. transvaalensis),22.215,17.48,39.695,0.440357728,35,1.46912,0.118,0.857,0.934,0.297,0.162,0.393,10.336,181.91,35.852,23.488,73.086,297.8758,0.2692,2235,25.1957,Asian,67%
L48,5,P,Y,5,Common (C. dactylon),17.377,8.07,25.447,0.317129721,28,1.510048,0.077,1.081,0.782,0.338,0.114,0.394,8.575,128.972,42.303,37.673,187.024,314.6398,0.2991,2711,29.5698,Unknown,
L49,5,P,Y,1,Common (C. dactylon),16.7,25.31,42.01,0.602475601,57,1.47,0.1,0.6,1.21,0.2,,0.35,4,214.4,21.9,15,48,141.0626,0.4915,563,21.7803,Unknown,
L5,1,P,Y,5,Common (C. dactylon),22.265,15.25,37.515,0.406504065,19,1.6442,0.075,0.715,1.236,0.272,0.117,0.361,7.189,174.767,46.637,16.935,70.928,284.2965,0.3322,2220,29.6727,African,
L5-2,1,PP,Y,1,Common (C. dactylon),21.107,2.09,23.197,0.090097857,31,1.8702,0.106,0.729,0.977,0.251,0.109,0.359,4.808,903.486,46.818,36.468,81.061,,,,,African,100%
L50,5,P,Y,2,Common (C. dactylon),18.999,10.62,29.619,0.358553631,30,1.4,0.09,0.58,1.11,0.2,,0.32,4.6,145.3,21.1,13.6,47.2,227.8566,0.2744,1484,19.6415,Unknown,
L51,5,P,Y,4,Common (C. dactylon),15.751,9.68,25.431,0.380637804,34,1.413648,0.12,0.971,0.875,0.323,0.23,0.457,8.733,311.746,35.646,32.031,64.165,159.7101,0.2667,881,13.3811,Unknown,
L52,5,PP,Y,5,Common (C. dactylon),20.634,15.36,35.994,0.42673779,41,1.8696,0.101,0.992,1.337,0.297,0.147,0.441,6.674,130.043,30.493,23.065,62.934,219.2455,0.3115,1273,21.4531,Unknown,
L53,5,PP,Y,1,Common (C. dactylon),16.772,8.97,25.742,0.348457773,29,1.49,0.09,0.48,1.1,0.18,,0.3,2.7,184.1,31.8,20.2,61.1,217.2849,0.3042,1371,20.765,Unknown,
