#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L108,10,P,Y,5,Hybrid (C. transvaalensis),16.614,9.06,25.674,0.352886188,37,1.39,0.064,0.73,1.026,0.172,0.086,0.24,1.925,86.188,38.666,12.482,140.044,361.7337,0.3429,2804,38.9643,African,100%
L109,10,P,Y,1,Hybrid (C. transvaalensis),16.22,8.94,25.16,0.355325914,30,1.35,0.1,0.73,1.28,0.2,,0.35,7.1,223.5,26.6,20,64.2,405.6096,0.3801,3661,48.4346,African,100%
L11,1,PPP,Y,4,Common (C. dactylon),29.797,14.14,43.937,0.32182443,26,1.2076,0.097,0.456,1.006,0.202,0.127,0.293,2.728,26.531,27.049,9.913,37.703,538.5714,0.3318,4405,56.1337,African,100%
L110,10,P,Y,2,Hybrid (C. transvaalensis),13.416,8.42,21.836,0.385601759,35,1.47,0.058,0.918,1.155,0.301,0.066,0.337,5.649,167.216,31.929,12.253,122.843,291.7232,0.3293,2170,30.1802,African,100%
L111,10,P,Y,4,Hybrid (C. transvaalensis),17.917,7.89,25.807,0.305731003,31,1.29,0.057,0.731,1.048,0.183,0.136,0.265,< 2.7,67.297,29.865,10.681,100.595,526.3769,0.322,4417,53.2482,African,100%
L112,10,PP,Y,5,Hybrid (C. transvaalensis),19.256,7.05,26.306,0.267999696,32,1.56,0.094,1.007,1.022,0.209,0.156,0.318,3.776,131.558,44.13,13.45,115.738,550.5494,0.3404,5270,58.8671,African,100%
L113,10,PP,Y,1,Hybrid (C. transvaalensis),17.77,7.17,24.94,0.287489976,34,1.35,0.1,0.73,1.3,0.2,,0.36,7.2,246.3,26.2,20.2,65.7,420.9916,0.3646,7106,48.22,African,100%
L114,10,PP,Y,2,Hybrid (C. transvaalensis),22.041,15.86,37.901,0.418458616,36,1.4,0.1,0.78,1.55,0.21,,0.44,6.9,217.5,29.8,23.5,141.9,294.0502,0.4034,2200,37.2675,African,100%
L115,10,PP,Y,4,Hybrid (C. transvaalensis),19.223,15.17,34.393,0.441078126,31,1.28,0.074,0.776,1.036,0.167,0.114,0.254,< 2.7,10.551,32.882,9.013,101.272,282.4746,0.3922,2328,34.8014,African,100%
L116,10,PPP,Y,5,Hybrid (C. transvaalensis),21.646,11.42,33.066,0.345369866,32,1.48,0.102,0.771,1.034,0.178,0.141,0.278,2.861,34.801,31.035,12.586,120.292,372.1666,0.3826,2921,44.7343,African,100%
L117,10,PPP,Y,1,Hybrid (C. transvaalensis),21.452,7.88,29.332,0.268648575,27,1.46,0.08,0.56,1.07,0.17,,0.34,2.8,149.3,24.6,14.9,102.6,345.5173,0.4043,2581,43.8808,African,100%
L118,10,PPP,Y,2,Hybrid (C. transvaalensis),21.591,13.94,35.531,0.392333455,35,1.26,0.045,0.752,1.144,0.198,0.079,0.265,< 2.7,57.768,32.468,20.111,203.801,455.3268,0.3335,4077,47.7125,African,100%
L119,10,PPP,Y,4,Hybrid (C. transvaalensis),23.776,9.56,33.336,0.286777058,23,0.981,0.072,0.514,0.933,0.133,0.147,0.209,< 2.7,62.093,19.206,8.867,69.168,362.9924,0.3686,3281,42.0347,African,100%
L12,1,PPP,Y,5,Common (C. dactylon),26.859,6.22,33.079,0.188034705,33,1.80624,0.146,0.771,1.178,0.265,0.142,0.395,7.61,190.761,35.647,16.696,58.723,264.1689,0.3459,1998,28.7104,African,100%
L120,11,P,Y,5,Hybrid (C. transvaalensis),13.846,5.07,18.916,0.268027067,44,1.3,0.101,0.708,1.009,0.191,0.203,0.357,< 2.7,56.221,35.854,12.814,74.845,234.7266,0.2873,2267,21.1837,African,100%
L121,11,P,Y,1,Hybrid (C. transvaalensis),17.55,9.27,26.82,0.345637584,28,1.2,0.066,0.721,1.078,0.193,0.115,0.261,3.092,50.262,37.845,11.8,189.077,361.539,0.3396,3321,38.5705,African,100%
L122,11,P,Y,2,Hybrid (C. transvaalensis),18.478,11.2,29.678,0.377383921,37,1.5,0.081,0.683,1.038,0.158,0.157,0.306,< 2.7,42.284,32.456,13.936,125.421,171.9277,0.3489,1128,18.8467,African,100%
L123,11,P,Y,4,Hybrid (C. transvaalensis),12.02,7.73,19.75,0.391392405,20,1.66,0.086,0.729,1.033,0.159,0.139,0.332,< 2.7,62.95,28.058,9.827,77.525,367.6523,0.3189,3225,36.8363,African,100%
L124,11,PP,Y,5,Hybrid (C. transvaalensis),17.21,9.4,26.61,0.353250658,31,1.62,0.071,0.586,0.967,0.144,0.11,0.284,< 2.7,,25.126,8.93,113.127,182.9152,0.3239,1410,18.6123,African,100%
L125,11,PP,Y,1,Hybrid (C. transvaalensis),12.24,7.92,20.16,0.392857143,29,1.81,0.094,1,1.048,0.229,0.214,0.409,< 2.7,327.99,34.78,14.297,120.737,249.0252,0.4569,2596,35.7473,African,100%
L126,11,PP,Y,2,Hybrid (C. transvaalensis),16.25,14.78,31.03,0.476313245,32,1.73,0.145,0.894,1.049,0.204,0.186,0.351,< 2.7,132.622,28.845,19.131,67.131,346.0099,0.3032,2926,32.9546,African,100%
L127,11,PP,Y,4,Hybrid (C. transvaalensis),18.37,11.08,29.45,0.3762309,26,1.61,0.084,0.641,1.066,0.172,0.164,0.323,2.758,61.511,23.839,11.913,103.352,399.9506,0.3087,3780,38.7822,African,100%
L128,11,PPP,Y,5,Hybrid (C. transvaalensis),16.924,4.59,21.514,0.213349447,35,1.4,0.109,0.748,0.902,0.173,0.159,0.305,2.981,213.316,21.36,16.619,76.546,140.8455,0.3721,1182,16.4639,African,100%
L129,11,PPP,Y,1,Hybrid (C. transvaalensis),22.57,7.95,30.52,0.260484928,32,1.41,0.08,0.59,1.19,0.17,,0.34,3.7,159.9,24.6,17.6,104.2,165.1576,0.4807,823,24.9414,African,100%
L13,2,P,Y,1,Hybrid (C. transvaalensis),27.212,10.82,38.032,0.284497265,30,1.61648,0.066,0.764,0.835,0.23,0.08,0.28,5.134,780.845,34.869,26.271,172.226,,,,,Asian,67%
L130,11,PPP,Y,2,Hybrid (C. transvaalensis),18.875,7.68,26.555,0.289211071,46,1.38,0.09,0.66,1.26,0.19,,0.4,4.2,176.4,28.9,18.4,115.1,258.8373,0.3112,2004,25.3077,African,100%
L131,11,PPP,Y,4,Hybrid (C. transvaalensis),22.096,12.11,34.206,0.354031456,24,1.63,0.067,0.736,1.136,0.193,0.123,0.358,< 2.7,87.001,34.698,12.085,190.164,311.2068,0.3109,2032,30.3986,African,100%
L132,12,P,Y,5,Common (C. dactylon),20.743,22.08,42.823,0.51561077,19,1.11,0.065,0.798,0.878,0.206,0.107,0.268,< 2.741,521.267,26.939,27.983,68.421,171.4422,0.3825,1295,20.5996,Unknown,
L133,12,P,Y,1,Common (C. dactylon),16.89,9.18,26.07,0.352128884,36,1.57,0.093,0.897,1.215,0.213,0.121,0.42,5.256,100.415,39.845,20.868,163.925,303.4286,0.3759,5572,35.8327,Unknown,
L134,12,P,Y,2,Common (C. dactylon),8.435,11.07,19.505,0.567546783,22,1.5,0.09,0.977,1.145,0.222,0.123,0.394,3.777,87.637,28.991,15.58,134.533,670.348,0.254,7495,53.4974,Unknown,
